terrai_cod,terrai_nom,etnia_nome,municipio_,uf_sigla,superficie,fase_ti,modalidade,reestudo_t,superfic_1,lon,lat
46901,Tukuna Porto Espiritual,Tikúna,Benjamin Constant,AM,28393483,Regularizada,Tradicionalmente ocupada,,,,
47001,Tukuna Umariaçu,Tikúna,Tabatinga,AM,48549989,Regularizada,Tradicionalmente ocupada,,,,
47101,Tumiã,Apurinã,Lábrea,AM,1243574170,Regularizada,Tradicionalmente ocupada,,,,
47201,Tupã-Supé,Tikúna,"Alvarães, Uarini",AM,85895101,Regularizada,Tradicionalmente ocupada,,,,
47301,Turé/Mariquita,Tembé,Tomé-Açu,PA,1469798,Regularizada,Tradicionalmente ocupada,,,,
47401,Turé/Mariquita II,Tembé,Tomé-Açu,PA,5935563,Encaminhada RI,Reserva Indigena,,,,
47601,Uaça,Karipuna,Oiapoque,AP,4701640640,Regularizada,Tradicionalmente ocupada,,,,
47701,Uati-Paraná,Tikúna,"Fonte Boa, Japurá, Tonantins",AM,1271990610,Regularizada,Tradicionalmente ocupada,,,,
47801,Ubawawe,Xavante,Novo São Joaquim,MT,522344773,Regularizada,Tradicionalmente ocupada,,,,
47901,Uirapuru,Paresí,"Campos de Júlio, Nova Lacerda",MT,21680,Declarada,Tradicionalmente ocupada,,,,
48001,Umutina,Umutina,Barra do Bugres,MT,28120,Regularizada,Tradicionalmente ocupada,,,,
48101,Uneiuxi,"Makú, Tukano","Japurá, Santa Isabel do Rio  Negro",AM,4031828080,Regularizada,Tradicionalmente ocupada,,X,,
48102,Uneiuxi,"Makú, Tukano","Japurá, Santa Isabel do Rio Negro",AM,5547304120,Declarada,Tradicionalmente ocupada,Reestudo,,,
48201,Uru-Eu-Wau-Wau,Uru-Eu-Wau-Wau,"Jaru, Guajara-Mirim, Alvorada D'Oeste, São Miguel do Guapore, Costa Marques, Nova Mamoré",RO,0,Regularizada,Tradicionalmente ocupada,,,,
48301,Urubu Branco,Tapirapé,"Luciára, Confresa, Santa Teresinha, Porto Alegre do Norte",MT,1675333270,Regularizada,Tradicionalmente ocupada,,,,
48401,Urucu/Juruá,Tenetehara,Itaipava do Grajaú,MA,126970441,Regularizada,Tradicionalmente ocupada,,,,
48501,Utiariti,Paresí,"Campo Novo do Parecis, Sapezal",MT,4123041960,Regularizada,Tradicionalmente ocupada,,,,
48601,Vale do Guaporé,Nambikwára,"Comodoro, Nova Lacerda",MT,242593,Regularizada,Tradicionalmente ocupada,,,,
48701,Vale do Javari,"Kulina Páno, Matis, Matses","Atalaia do Norte, Benjamin Constant, Jutai, São Paulo de Olivença",AM,85444822700,Regularizada,Tradicionalmente ocupada,,,,
48801,Vanuire,Kaingang,"Arco-Iris, Tupã",SP,7089304,Regularizada,Tradicionalmente ocupada,,,,
48901,Vargem Alegre,Pankararú,Serra do Ramalho,BA,9810815,Regularizada,Reserva Indigena,,,,
49001,Varzinha,Guarani Mbya,"Caraá, Maquiné",RS,7762761,Regularizada,Tradicionalmente ocupada,,,,
49101,Ventarra,Kaingang,Erebango,RS,7729532,Regularizada,Tradicionalmente ocupada,,,,
49201,Votouro,Kaingang,"Benjamin Constant do Sul, Faxinalzinho",RS,33410977,Regularizada,Tradicionalmente ocupada,,,,
49301,Vui-Uata-In,Tikúna,Amaturá,AM,1211986000,Regularizada,Tradicionalmente ocupada,,,,
49401,Waiãpi,Waiãpy,"Pedra Branca do Amaparí, Laranjal do Jari, Mazagão",AP,6070172400,Regularizada,Tradicionalmente ocupada,,,,
49501,Waimiri-Atroari,Waimiri Atroari,"Rorainópolis, Novo Airão, Presidente Figueiredo, São João da Baliza, Urucará",AM/RR,25859115700,Regularizada,Tradicionalmente ocupada,,,,
49601,WaiWái,Mawayána,"Caroebe, Caracarai, São João da Baliza",RR,4056980090,Regularizada,Tradicionalmente ocupada,,,,
49701,Wassu-Cocal,Wassú,"Colônia Leopoldina, Joaquim Gomes, Matriz de Camaragibe, Novo Lino",AL,11842,Delimitada,Tradicionalmente ocupada,,,,
49801,Wawi,Kisêdjê,Querência,MT,1503291870,Regularizada,Tradicionalmente ocupada,,,,
49901,Xacriabá,Xacriabá,"São João das Missões, Itacarambi",MG,464159242,Regularizada,Tradicionalmente ocupada,,,,
50001,Xakriabá Rancharia,Xacriabá,"Itacarambi, São João das Missões",MG,67983817,Regularizada,Tradicionalmente ocupada,,,,
50101,Xambioá,"Guaraní, Karaja",Santa Fé do Araguaia,TO,33263502,Regularizada,Tradicionalmente ocupada,,,,
50201,Xapecó,"Kaingang, Guarani","Abelardo Luz, Ipauçu, Entre Rios",SC,156239581,Homologada,Tradicionalmente ocupada,,,,
50301,Xerente,Xerente,Tocantínia,TO,1675421060,Regularizada,Tradicionalmente ocupada,,,,
50501,Xikrin do Rio Catete,Kayapó,"Água Azul do Norte, Marabá, Parauapebas",PA,4391505450,Regularizada,Tradicionalmente ocupada,,,,
50601,Xipaya,"Xipáya, Kuruaya",Altamira,PA,1787230240,Homologada,Tradicionalmente ocupada,,,,
50701,Xukuru-Kariri,Xucuru - Kariri,Palmeira dos Índios,AL,7073,Declarada,Tradicionalmente ocupada,,,,
50801,Xukuru,Xucuru,"Poção, Pesqueira",PE,275550583,Regularizada,Tradicionalmente ocupada,,,,
50901,Yanomami,Yanomámi,"Caracaraí,Alto Alegre, Boa Vista, Barcelos, São Gabriel da Cachoeira, Santa Isabel do Rio Negro",AM/RR,0,Regularizada,Tradicionalmente ocupada,,,,
51001,Zoe,Zo´é,Óbidos,PA,6685656280,Regularizada,Tradicionalmente ocupada,,,,
51101,Zoró,Zoró,Aripuanã,MT,3557895490,Regularizada,Tradicionalmente ocupada,,,,
51201,Zuruahã,Zuruahã,Tapauá,AM,2390697400,Regularizada,Tradicionalmente ocupada,,,,
51301,Riozinho do Alto Envira,Isolados,"Santa Rosa do Purus, Feijo, Feijo",AC,0,Homologada,Tradicionalmente ocupada,,,,
51501,Sapotal,Kokama,Tabatinga,AM,12644661,Regularizada,Tradicionalmente ocupada,,,,
51601,Anaro,Wapixana,Amajari,RR,304739506,Regularizada,Tradicionalmente ocupada,,,,
51801,Arara do Rio Amonia,Arara do Acre,Marechal Thaumaturgo,AC,20534,Declarada,Tradicionalmente ocupada,,,,
52201,Barro Alto,Kokama,Tonantins,AM,19371679,Regularizada,Tradicionalmente ocupada,,,,
52401,Batelão,Kaiabi,"Tabaporã, Nova Canaã do Norte, Juara",MT,117050,Declarada,Tradicionalmente ocupada,,,,
52601,Apurinã do Igarapé Mucuim,Apurinã,Lábrea,AM,733506121,Regularizada,Tradicionalmente ocupada,,,,
52701,Lago do Correio,"Tikúna, Kokama",Santo Antônio do Içá,AM,132097815,Regularizada,Tradicionalmente ocupada,,,,
52801,Guanabara,Kokama,Benjamin Constant,AM,15600,Declarada,Tradicionalmente ocupada,,,,
53201,Ponciano,Múra,"Altazes, Careiro da Várzea",AM,4329,Delimitada,Tradicionalmente ocupada,,,,
53401,Prosperidade,Kokama,Tonantins,AM,55728552,Regularizada,Tradicionalmente ocupada,,,,
53601,Santa Cruz da Nova Aliança,Kokama,Tonantins,AM,59692201,Regularizada,Tradicionalmente ocupada,,,,
53801,Mato Preto,Guaraní,"Erechim, Erebango, Getulio Vargas",RS,4230,Declarada,Tradicionalmente ocupada,,,,
53901,Sururuá,Kokama,"Benjamin Constant, São Paulo de Olivença",AM,36125,Declarada,Tradicionalmente ocupada,,,,
54001,Votouro/Kandoia,Kaingang,"Benjamin Constant do Sul, Faxinalzinho",RS,5977,Delimitada,Tradicionalmente ocupada,,,,
54101,Vista Alegre,Múra,"Careiro, Manaquiri",AM,13206,Delimitada,Tradicionalmente ocupada,,,,
54601,Tapeba,Tapeba,Caucaia,CE,5838,Delimitada,Tradicionalmente ocupada,,,,
55001,Sombrerito,Guarani Nhandeva,Sete Quedas,MS,12608,Declarada,Tradicionalmente ocupada,,,,
55101,Maró,Arapiun,Santarém,PA,42373,Delimitada,Tradicionalmente ocupada,,,,
55201,Pequizal do Naruvôtu,Naravute,"Canarana, Gaúcha do Norte",MT,27980,Declarada,Tradicionalmente ocupada,,,,
55501,Tupinambá de Olivença,Tupinambá,"Buerarema, Ilhéus, Una",BA,47376,Delimitada,Tradicionalmente ocupada,,,,
56801,Las Casas,Kayapó,"Pau D`Arco, Floresta do Araguaia, Redenção",PA,213447011,Regularizada,Tradicionalmente ocupada,,,,
57001,Portal do Encantado,Chiquitáno,"Pontes e Lacerda, Vila Bela da Santissima Trindade, Porto Esperidião",MT,43057,Declarada,Tradicionalmente ocupada,,,,
57101,Porto Limoeiro,Tikúna,Santo Antônio do Içá,AM,45877205,Regularizada,Tradicionalmente ocupada,,,,
58001,Munduruku-Taquara,Mundurukú,Belterra,PA,25323,Delimitada,Tradicionalmente ocupada,,,,
58101,São Marcos - MT,Xavante,Barra do Garças,MT,0,Regularizada,Tradicionalmente ocupada,,,,
58201,São Domingos do Jacapari e Estação,Kokama,"Jutaí, Tonantins",AM,1347817510,Regularizada,Tradicionalmente ocupada,,,,
58301,São Domingos - MT,Karajá,"Luciára, São Felix do Araguaia",MT,57048096,Regularizada,Tradicionalmente ocupada,,,,
58401,São Marcos - RR,"Makuxí, Wapixana","Boa Vista, Pacaraima",RR,6541101000,Regularizada,Tradicionalmente ocupada,,,,
58502,Boa Vista,Mura,Careiro da Varzea,AM,337,Regularizada,Tradicionalmente ocupada,,,,
58601,Boa Vista - PR,Kaingang,Laranjeiras do Sul,PR,73363308,Declarada,Tradicionalmente ocupada,,,,
58701,Cacique Fontoura,Karajá,"São Félix do Araguaia, Luciara",MT,323047226,Declarada,Tradicionalmente ocupada,,,,
58801,Barreirinha,Amanayé,Paragominas,PA,0,Regularizada,Tradicionalmente ocupada,,,,
58901,Sarauá,Amanayé,Ipixuna do Pará,PA,18610323,Regularizada,Tradicionalmente ocupada,,,,
59101,Tarumã,Guarani Mbya,"Araquari, Balneario Barra do Sul",SC,2172,Declarada,Tradicionalmente ocupada,,,,
59201,Tumbalalá,Tumbalalá,"Abaré, Curaça",BA,44978,Delimitada,Tradicionalmente ocupada,,,,
59301,Caieiras Velha II,"Guarani Mbya, Tupiniquim",Aracruz,ES,573935,Regularizada,Tradicionalmente ocupada,,,,
59601,Cué Cué/ Marabitanas,Baré,São Gabriel da Cachoeira,AM,808645,Declarada,Tradicionalmente ocupada,,,,
60001,Arara da Volta Grande do Xingu,Arara do Acre,Senador José Porfírio,PA,25524931,Declarada,Tradicionalmente ocupada,,,,
60701,Caxixó,Kaxixó,"Pompéu, Martinho Campos",MG,5411,Delimitada,Tradicionalmente ocupada,,,,
61401,Kawahiva do Rio Pardo (restrição de uso),Isolados,Colniza,MT,411848,Delimitada,Tradicionalmente ocupada,,,,
62301,Krahó-Kanela,Krahô-Kanela,Lagoa da Confusão,TO,76127653,Regularizada,Tradicionalmente ocupada,,,,
62401,Utaria Wyhyna/Iròdu Iràna,"Karajá, Javaé",Pium,TO,177466,Declarada,Tradicionalmente ocupada,,,,
62501,Bragança-Marituba,Mundurukú,Belterra,PA,13515,Delimitada,Tradicionalmente ocupada,,,,
62901,Tenharim Marmelos (Gleba B),Tenharim,"Manicoré, Humaita",AM,4747416020,Regularizada,Tradicionalmente ocupada,,,,
63901,Tuwa Apekuokawera,Suruí de Rondônia,"Marabá, São Geraldo do Araguaia",PA,11764,Delimitada,Tradicionalmente ocupada,,,,
64001,Yvyporã Laranjinha,Guarani Nhandeva,"Cornélio Procópio, Abatia, Ribeirão do Pinhal",PR,1238,Declarada,Tradicionalmente ocupada,,,,
64601,Tremembé de Queimadas,Tremembé,Acaraú,CE,767,Declarada,Tradicionalmente ocupada,,,,
64801,Panambi - Lagoa Rica,Guarani Kaiowá,"Douradina, Itaporã",MS,12196,Delimitada,Tradicionalmente ocupada,,,,
64901,Xapecó (Pinhalzinho-Canhadão),"Guaraní, Kaingang","Abelardo Luz, Ipauçu",SC,660,Declarada,Tradicionalmente ocupada,,,,
65301,Passo Grande do Rio Forquilha,Kaingang,"Cacique Doble, Sananduva",RS,1916,Declarada,Tradicionalmente ocupada,,,,
65401,Maracaxi,Tembé,Aurora do Pará,PA,720,Declarada,Tradicionalmente ocupada,,,,
65701,Hãm Yîxux,Maxakali,Ladainha,MG,0,Regularizada,Reserva Indigena,,,,
65801,Krenrehé,Krenák,"Luciára , Canabravo do Norte",MT,6400,Regularizada,Reserva Indigena,,,,
65901,Jacareúba/Katauixi (restrição uso),Isolados,"Canutama , Labrea",AM,647386,Em Estudo,Interditada,,,,
66001,Mundo Verde/Cachoeirinha,Maxakali,Teófilo Otoni,MG,6061916,Regularizada,Reserva Indigena,,,,
66301,Tanaru ( restrição de uso ),Isolados,"Corumbiara, Chupinguaia, Parecis, Pimenteiras do Oeste",RO,8070,Em Estudo,Interditada,,,,
66901,Piripkura ( restrição de uso ),Isolados,"Colniza, Rondolândia",MT,242500,Em Estudo,Interditada,,,,
67601,Igarapé Taboca do Alto Tarauacá (restrição de uso),Isolados,Jordão,AC,287,Em Estudo,Interditada,,,,
68301,Apiaká do Pontal e Isolados,"Apiaká, Isolados",Apiacás,MT,982324,Delimitada,Tradicionalmente ocupada,,,,
68901,Tupinambá de Belmonte,Tupinambá,Belmonte,BA,9521,Delimitada,Tradicionalmente ocupada,,,,
69001,Sissaíma,Múra,Careiro da Várzea,AM,8700,Delimitada,Tradicionalmente ocupada,,,,
69801,Fazenda Remanso,Tuxá,Muquém de São Francisco,BA,3369518,Regularizada,Reserva Indigena,,,,
69901,Fazenda Sítio,Tuxá,Quijingue,BA,414,Regularizada,Reserva Indigena,,,,
70201,Xukuru de Cimbres,Xucuru,"Pedra, Alagoinha, Pesqueira, Venturosa",PE,11661793,Regularizada,Reserva Indigena,,,,
70601,Tremembé da Barra do Mundaú,Tremembé,Itapipoca,CE,3580,Delimitada,Tradicionalmente ocupada,,,,
72601,Ituna/Itata (restrição de uso),Isolados,"Altamira, Anapu, Senador Jose Porfirio",PA,142402,Em Estudo,Interditada,,,,
73301,Taego Ãwa,Ava-Canoeiro,Formoso do Araguaia,TO,29000,Delimitada,Tradicionalmente ocupada,,,,
73601,Wedezé,Xavante,Cocalinho,MT,145881,Delimitada,Tradicionalmente ocupada,,,,
73702,Iguatemipegua I,Guarani Kaiowá,Iguatemi,MS,41571,Delimitada,Tradicionalmente ocupada,,,,
73708,Pirititi (restrição de uso),Isolados,Rorainópolis,RR,43404,Em Estudo,Interditada,,,,
73720,Takuari,Guarani,Eldorado,SP,2190,Regularizada,Reserva Indigena,,,,
37501,Queimadas,Kaingang,Ortigueira,PR,30777602,Regularizada,Tradicionalmente ocupada,,,,
52001,Jaminawá da Colocação São Paulino,Yaminawa,Boca do Acre,AM,0,Em Estudo,Tradicionalmente ocupada,,,-68.704045979513239,-8.959070116714214
55801,Caiapucá,Yaminawa,Boca do Acre,AM,0,Em Estudo,Tradicionalmente ocupada,,,-68.171873233632667,-9.019602409821019
61101,Jamamadi do Lourdes,"Jamamadí, Apurinã",Boca do Acre,AM,0,Em Estudo,Tradicionalmente ocupada,,,-67.662264326084056,-8.760129137685714
51401,Lago do Barrigudo,Apurinã,Beruri,AM,0,Em Estudo,Tradicionalmente ocupada,,,-61.211727790187197,-4.249466263658111
57301,Kaxinawá Seringal Curralinho,Kaxinawá,Feijó,AC,0,Em Estudo,Tradicionalmente ocupada,,,-70.614141191709933,-8.412818187475223
62701,Manchineri do Seringal Guanabara,Machineri,"Sena Madureira, Assis Brasil",AC,0,Em Estudo,Tradicionalmente ocupada,,,-69.69301302750192,-10.371735179904883
60801,Jaminawa do Rio Caeté,Yaminawa,Sena Madureira,AC,0,Em Estudo,Tradicionalmente ocupada,,,-69.553321828879078,-9.593236650322625
62101,Baixo Rio Negro,"Tukano, Makurap, Baré",Barcelos,AM,0,Em Estudo,Tradicionalmente ocupada,,,-63.429125501480435,-0.601744303278443
68101,Kaxuyana/Tunayana,Kaxuyana,Oriximiná,PA,0,Em Estudo,Tradicionalmente ocupada,,,-57.310577923320636,-0.578867076189494
47602,Uaça,Karipuna,Oiapoque,AP,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-51.848289202251742,3.456253337692759
62001,Juruna do Km 17,Juruna,Vitória do Xingu,PA,0,Encaminhada RI,Reserva Indigena,,,-52.202436704577678,-3.043606463192293
55401,Pacajá,Asurini do Tocantins,Portel,PA,0,Em Estudo,Tradicionalmente ocupada,,,-50.219582378083999,-3.11647212966266
67301,Apinayé II,Apinayé,"Tocantinópolis, Nazaré",TO,0,Em Estudo,Tradicionalmente ocupada,,,-47.70512716157981,-6.359722763535326
56901,Vila Real,Tenetehara,Barra do Corda,MA,0,Em Estudo,Tradicionalmente ocupada,,,-45.324861294425922,-5.758544481538863
21302,Karajá Santana do Araguaia,Karajá,Santa Maria das Barreiras,PA,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-49.893754049465208,-8.936424948918461
38401,Rio Arraias,Kaiabi,Marcelândia,MT,0,Em Estudo,Tradicionalmente ocupada,,,-53.82113944127746,-10.865520713396899
65001,Ikpeng,Ikpeng,Gaúcha do Norte,MT,0,Em Estudo,Tradicionalmente ocupada,,,-54.203486584164274,-12.424335450098821
49802,Wawi,Kisêdje,Querência,MT,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-52.934669836168723,-11.76790176338651
69301,Lago Grande,Karajá,Santa Terezinha,MT,0,Em Estudo,Tradicionalmente ocupada,,,-50.438657724748765,-10.022528017598582
58302,São Domingos - MT,Karaja,"Luciara, São Felix do Araguaia",MT,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-50.762538537002413,-11.196111662514845
44002,Tapirapé/Karajá,"Tapirapé, Karaja","Luciára, Santa Terezinha",MT,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-50.724207158823901,-10.810932383865035
301,Água Limpa,Terena,Rochedo,MS,0,Em Estudo,Tradicionalmente ocupada,,,-54.777877850766387,-20.115218097325656
66601,Apapeguá,Guarani Kaiowá,Ponta Porã,MS,0,Em Estudo,Tradicionalmente ocupada,,,-55.903082640160541,-21.98339562325566
68801,Tekoha Marangatu,Guarani Nhandeva,Guaíra,PR,0,Em Estudo,Tradicionalmente ocupada,,,-54.299437964685886,-24.177359906794816
70101,Araguajú/Terra Roxa,Guarani Nhandeva,Guairaçá,PR,0,Em Estudo,Tradicionalmente ocupada,,,-54.246903321884801,-24.087332894050576
70001,Tekoha Porã,"Guarani Kaiowá, Guarani Nhandeva",Guaíra,PR,0,Em Estudo,Tradicionalmente ocupada,,,-54.273488763029825,-24.282544810493047
67501,Ilhas da Tapera/São Félix/Porto,Truká,Orocó,PE,0,Encaminhada RI,Reserva Indigena,,,-39.569497885515553,-8.509198394949438
71001,Pankará da Serra do Arapuá,Pankará,Carnaubeira da Penha,PE,0,Em Estudo,Tradicionalmente ocupada,,,-38.745320135721251,-8.418274653411794
47501,Tuxá,Tuxá,Rodelas,BA,0,Encaminhada RI,Reserva Indigena,,,-38.871536822544186,-8.915063170492489
37601,Quixaba - Fazenda Pedrosa,Xucuru - Kariri,Glória,BA,281658,Regularizada,Reserva Indigena,,,-38.623676476676557,-9.212562664934966
46001,Tremembé de Almofala,Tremembé,Itarema,CE,4900,Delimitada,Tradicionalmente ocupada,,,-39.857081693105862,-2.973447971155345
71101,Anacé,Anacé,Caucaia,CE,0,Em Estudo,Tradicionalmente ocupada,,,-38.886559277238042,-3.594214698954334
64701,Mundo Novo/Viração,Potiguara,"Monsenhor Tabosa, Tamboril",CE,0,Em Estudo,Tradicionalmente ocupada,,,-40.212983811502852,-4.920219175990342
56701,Sawré Muybu (Pimental),Mundurukú,"Itaituba, Trairão",PA,0,Em Estudo,Tradicionalmente ocupada,,,-56.250040193029889,-4.592898234055636
57801,Sawré Juybu (São Luiz do Tapajós),Mundurukú,Itaituba e Trairão,PA,0,Em Estudo,Tradicionalmente ocupada,,,-56.220867529672645,-4.450594212561809
68001,Escrivão,"Maytapu, Munduruku",Aveiro,PA,0,Em Estudo,Tradicionalmente ocupada,,,-55.431843258969323,-3.519902134716581
6801,Borboleta,Kaingang,"Campos Borges, Espumoso, Salto Grande do Jacui",RS,0,Em Estudo,Tradicionalmente ocupada,,,-52.981848539513727,-28.976225683702168
66201,Kaaguy Poty,Guaraní,Estrela Velha,RS,0,Em Estudo,Tradicionalmente ocupada,,,-53.10372228743902,-29.403231748440074
69101,Estrela,Kaingang,Estrela,RS,0,Em Estudo,Tradicionalmente ocupada,,,-51.862326290123391,-29.499351001468565
70801,Arroio do Conde,Kaingang,"Eldorado do Sul , Guaiba",RS,0,Em Estudo,Tradicionalmente ocupada,,,-51.351343471952745,-30.039893152817147
68701,Morro do Osso,Kaingang,Porto Alegre,RS,0,Em Estudo,Tradicionalmente ocupada,,,-51.285194603966531,-30.117750884914837
70701,Petim/Arasaty,Guaraní,Guaíba,RS,0,Em Estudo,Tradicionalmente ocupada,,,-51.418448277075399,-30.188176136528167
70901,Passo Grande,Guaraní,Barra do Ribeiro,RS,0,Em Estudo,Tradicionalmente ocupada,,,-51.196448785634736,-30.393901971961053
70401,Wahuri,Javaé,Sandolândia,TO,0,Em Estudo,Tradicionalmente ocupada,,,-50.135383919283861,-12.263066985005327
49902,Xacriabá,Xakriabá,"São João das Missões, Itacarambi",MG,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-44.516622817211832,-14.900621743208179
3902,Areões,xavante,Agua Boa,MT,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-52.184073977023253,-14.397333633012165
64101,Eterãirebere,Xavante,"Novo São Joaquim, Santo Antonio do Leste, Campinapolis",MT,0,Em Estudo,Tradicionalmente ocupada,,,-52.988132122304386,-14.638939011311416
64301,Norotsurã,Xavante,"Agua Boa, Campinápolis, Nova Xavantina",MT,0,Em Estudo,Tradicionalmente ocupada,,,-52.797839719497979,-14.338943145319654
64201,Isou`pá,Xavante,"Agua Boa, Campinapolis, Nova Xavantina",MT,0,Em Estudo,Tradicionalmente ocupada,,,-52.964848632195206,-14.140322100341439
64401,Huuhi,Xavante,Paranatinga,MT,0,Em Estudo,Tradicionalmente ocupada,,,-53.488261690280986,-14.129534071316105
41102,Sangradouro/Volta Grande,"Xavante, Bororo","Novo São Joaquim, General Carneiro, Poxoreu",MT,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-53.948054496334457,-15.680539583732633
20102,Kaingang de Irai,Kaingang,Iraí,RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-53.221675800503341,-27.230467779267542
65201,Palmital,Guaraní,União da Vitória,PR,0,Em Estudo,Tradicionalmente ocupada,,,-51.193679306019327,-26.042951491597574
68601,Mato Castelhano,Kaingang,Mato Castelhano,RS,0,Em Estudo,Tradicionalmente ocupada,,,-52.299893793096182,-28.278685077725608
9602,Carreteiro,Kaingang,Água Santa,RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-52.022833120735108,-28.255074897366658
68501,Sêgu,Kaingang,Novo Xingu,RS,0,Em Estudo,Tradicionalmente ocupada,,,-53.087448773985159,-27.779487034494323
27801,Massiambu,Guarani Mbya,Palhoça,SC,0,Em Estudo,Tradicionalmente ocupada,,,-48.717569569324844,-27.874955968986107
73401,Cambirela,Guarani Mbya,Palhoça,SC,0,Em Estudo,Tradicionalmente ocupada,,,-48.702184078623688,-27.691124110987225
67801,Sambaqui,Guaraní,Pontal do Paraná,PR,0,Em Estudo,Tradicionalmente ocupada,,,-48.525804229503521,-25.622560957372517
67901,Karuguá,Guaraní,Piraquara,PR,0,Em Estudo,Tradicionalmente ocupada,,,-49.024407722067167,-25.4706500191263
67701,Cerco Grande,Guaraní,Guaraqueçaba,PR,0,Em Estudo,Tradicionalmente ocupada,,,-48.346840113864559,-25.324113275706882
71301,Rio Branquinho,Guarani Mbya,Cananéia,SP,0,Em Estudo,Tradicionalmente ocupada,,,-48.157079045966441,-25.182661684776807
71901,Ilha do Cardoso,Guarani Mbya,Cananeia,SP,0,Em Estudo,Tradicionalmente ocupada,,,-48.001237022955969,-25.112044647028039
71201,Tekoa Pindoty,Guarani Mbya,Pariquera-Açu,SP,0,Em Estudo,Tradicionalmente ocupada,,,-47.903073582431276,-24.764492538177233
71401,Tekoa Guaviraty,Guarani Mbya,Iguape,SP,0,Em Estudo,Tradicionalmente ocupada,,,-47.763571694056743,-24.762603783521971
72001,Tekoa Itapuã,Guaraní,Iguape,SP,0,Em Estudo,Tradicionalmente ocupada,,,-47.65054876968658,-24.689055259665949
71801,Tekoa Amba Porã,Guarani Mbya,"Miracatu , Sete Barras",SP,0,Em Estudo,Tradicionalmente ocupada,,,-47.9982276648566,-24.516974759151658
71701,Tekoa Amba Porã,Guarani Mbya,"Miracatu, Sete Barras",SP,0,Em Estudo,Tradicionalmente ocupada,,,-48.107961621224831,-24.168087818480259
71501,Tekoa Uruity,Guarani Mbya,"Miracatu, Sete Barras",SP,0,Em Estudo,Tradicionalmente ocupada,,,-47.376336662766214,-24.256608054773693
66401,Arandu-Mirim,Guaraní,Parati,RJ,0,Em Estudo,Tradicionalmente ocupada,,,-44.8485876779975,-23.212099676289963
66101,Rio Pequeno,Guaraní,Parati,RJ,0,Em Estudo,Tradicionalmente ocupada,,,-44.805726940531713,-23.113286265462094
7802,Cacique Doble,"Kaingang, Guarani","Cacique Doble, São Jose do Ouro",RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-51.607526774650694,-27.825226191160592
17102,Inhacora,Kaingang,São Valério do Sul,RS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-54.002005341029658,-27.883809557358987
69501,Itapuã,Guaraní,Viamão,RS,0,Em Estudo,Tradicionalmente ocupada,,,-51.014425047696371,-30.30120521291634
69401,Morro do Coco,Guaraní,Viamão,RS,0,Em Estudo,Tradicionalmente ocupada,,,-51.114181557611268,-30.271131709091936
35202,Pilad Rebuá,Terena,Miranda,MS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-56.473148537264429,-20.332730861320393
25102,Lalima,"Terena, Kinikinau",Miranda,MS,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-56.232372914944854,-20.564525227888581
65601,Tekoha Itamarã,"Guarani Nhandeva, Guarani Mbya",Diamante D`Oeste,PR,242,Regularizada,Reserva Indigena,,,-54.079579444088203,-24.969501619708169
50401,Herarekâ Xetá,Xetá,Ivaté,PR,0,Em Estudo,Tradicionalmente ocupada,,,-53.453684521174075,-23.517284398757987
73201,Kalanko,Kalankó,Água Branca,AL,0,Em Estudo,Tradicionalmente ocupada,,,-37.967639143581025,-9.205034375244081
62201,Fazenda Cristo Rei,Pankararú,Jatobá,PE,0,Encaminhada RI,Reserva Indigena,,,-38.254385738843048,-9.250407363864586
13102,Fulni-ô,Fulni-ô,"Águas Belas, Itaiba",PE,0,Em Estudo,Tradicionalmente ocupada,Reestudo,,-37.070390283147489,-9.145380911079888
66701,Amambaipeguá,Guarani Kaiowá,Ponta Porã,MS,0,Em Estudo,Tradicionalmente ocupada,,,-55.403940085015925,-22.73868732220047
66501,Brilhantepeguá,Guarani Kaiowá,Paranhos,MS,0,Em Estudo,Tradicionalmente ocupada,,,-55.323617118259001,-23.8456974102365
66801,Iguatemipeguá,Guarani Kaiowá,"Sete Quedas, Iguatemi",MS,0,Em Estudo,Tradicionalmente ocupada,,,-54.882918580382551,-23.408281349613006
67001,Ñandévapeguá,Guaraní,Japorã,MS,0,Em Estudo,Tradicionalmente ocupada,,,-54.404048065930304,-23.911878488313249
67101,Dourados-Amambaipeguá,Guaraní,"Amambai, Dourados, Naviraí",MS,0,Em Estudo,Tradicionalmente ocupada,,,-54.493678573310035,-23.015815766464172
55901,Urucuty,Guarani Kaiowá,Amambaí,MS,0,Em Estudo,Tradicionalmente ocupada,,,-55.056658227510844,-22.397811505502844
