terrai_cod,terrai_nom,etnia_nome,municipio_,uf_sigla,superficie,fase_ti,modalidade,reestudo_t,superfic_1,lon,lat
30201,Nambikwara,Nambikwára,Comodoro,MT,10119614900,Regularizada,Tradicionalmente ocupada,,,,
30301,Ñande Ru Marangatu,Guarani Kaiowá,Antônio João,MS,9317216,Homologada,Tradicionalmente ocupada,,,,
30401,Natal/Felicidade,Múra,Autazes,AM,3133411,Regularizada,Tradicionalmente ocupada,,,,
30501,Nhamundá/Mapuera,"Hixkaryána, Wai-Wai,","Oriximiná, Faro, Urucara, Nhamunda",AM/PA,10495200000,Regularizada,Tradicionalmente ocupada,,,,
30601,Nioaque,Terena,Nioaque,MS,30293529,Regularizada,Tradicionalmente ocupada,,,,
30701,Nonoai,"Kaingang, Guarani","Rio dos Índios, Nonoai, Planalto, Gramado dos Loureiros",RS,19830,Declarada,Tradicionalmente ocupada,,,,
30801,Nonoai/Rio da Várzea,Kaingang,"Trindade do Sul, Nonoai, Liberato Salzano, Planalto, Gramado dos Loureiros",RS,164154443,Regularizada,Tradicionalmente ocupada,,,,
30901,Nossa Senhora de Fátima,Terena,Miranda,MS,88888,Regularizada,Reserva Indigena,,,,
31001,Nova Esperança do Rio Jandiatuba,Tikúna,"Amaturá, São Paulo de Olivença",AM,20003928,Regularizada,Tradicionalmente ocupada,,,,
31101,Nova Jacundá,Guarani Mbya,Rondon do Pará,PA,1969043,Regularizada,Dominial Indígena,,,,
31201,Nove de Janeiro,Diahói,Humaitá,AM,2287771000,Regularizada,Tradicionalmente ocupada,,,,
31301,Nukini,Nukiní,Mâncio Lima,AC,272635212,Regularizada,Tradicionalmente ocupada,,,,
31401,Ofayé-Xavante,Ofayé,Brasilândia,MS,1937625,Declarada,Tradicionalmente ocupada,,,,
31402,Ofayé-Xavante,Ofayé,Brasilândia,MS,484,Regularizada,Reserva Indigena,Reestudo,,,
31501,Ouro,Makuxí,Boa Vista,RR,13572,Regularizada,Tradicionalmente ocupada,,,,
31601,Pacaas Novas,Pakaa Nova,Guajará-Mirim,RO,2799063830,Regularizada,Tradicionalmente ocupada,,,,
31701,Pacheca,Guaraní,Camaquã,RS,1852205,Regularizada,Tradicionalmente ocupada,,,,
31901,Padre,Mura,Autazes,AM,797511,Regularizada,Tradicionalmente ocupada,,,,
32002,Palmas,Kaingang,"Abelardo Luz, Palmas",PR/SC,38008794,Regularizada,Tradicionalmente ocupada,,,,
32101,Panambizinho,Guarani Kaiowá,Dourados,MS,12728035,Regularizada,Tradicionalmente ocupada,,,,
32201,Panará,Panará,"Altamira, Matupa, Guarantã do Norte",MT/PA,499740005,Regularizada,Tradicionalmente ocupada,,,,
32301,Pankararé,Pankararé,"Glória, Paulo Afonso, Rodelas",BA,295973322,Regularizada,Tradicionalmente ocupada,,,,
32401,Pankararu,Pankararú,"Jabora, Petrolandiia, Tacaratu",PE,83772819,Regularizada,Tradicionalmente ocupada,,,,
32601,Paquiçamba,Yudjá,Vitória do Xingu,PA,43842668,Regularizada,Tradicionalmente ocupada,,X,,
32602,Paquiçamba,Yudjá,Vitória do Xingu,PA,15733,Delimitada,Tradicionalmente ocupada,Reestudo,,,
32701,Parabubure,Xavante,"Água Boa, Campinapolis, Nova Xavantina",MT,2244473370,Regularizada,Tradicionalmente ocupada,,,,
32801,Paracuhuba,Múra,Autazes,AM,9275376,Regularizada,Tradicionalmente ocupada,,,,
32901,Parakanã,Parakanã,"Itupiranga, Novo Repartimento",PA,0,Regularizada,Tradicionalmente ocupada,,,,
33001,Paraná do Arauató,Múra,Itacoatiara,AM,5915445,Regularizada,Tradicionalmente ocupada,,,,
33101,Parana do Boa Boa,Makú,"Japurá, Santa Isabel do Rio Negro",AM,2405458480,Regularizada,Tradicionalmente ocupada,,,,
33201,Parana do Paricá,Kanamarí,Maraã,AM,0,Regularizada,Tradicionalmente ocupada,,,,
33301,Parati-Mirim,Guaraní,Parati,RJ,791997,Regularizada,Tradicionalmente ocupada,,,,
33401,Paresi,Paresí,Tangará da Serra,MT,5635865350,Regularizada,Tradicionalmente ocupada,,,,
33501,Parque do Araguaia,"Ava-Canoeiro, Javaé, Karajá e
Tapirapé","Formoso do Araguaia, Lagoa da Confusão e pium",TO,13584994800,Regularizada,Tradicionalmente ocupada,,,,
33601,Parque do Aripuanã,Cinta Larga,"Juína , Vilhena",MT/RO,16032459800,Regularizada,Tradicionalmente ocupada,,,,
33701,Parque do Tumucumaque,"Wayana, Apalai","Almeirim, Oriximina, Laranjal do Jari, Obidos, Alenquer",AP/PA,30710678800,Regularizada,Tradicionalmente ocupada,,,,
33801,Parque do Xingu,"Kisêdjê, Kayapo,","Nova Ubiratã, Canarana, Feliz Natal, Gaucha do Norte, Marcelandia, Paranatinga",MT,26420039400,Regularizada,Tradicionalmente ocupada,,,,
33901,Patauá,Múra,Autazes,AM,615885,Regularizada,Tradicionalmente ocupada,,,,
34001,Pau Brasil,"Guarani, Tupiniquim",Aracruz,ES,1579,Regularizada,Tradicionalmente ocupada,,X,,
34101,Paukalirajausu,Nambikwára,"Nova Lacerda, Vila Bela da Santissima Trindade",MT,8400,Delimitada,Tradicionalmente ocupada,,,,
34201,Paumari do Cuniua,Paumarí,Tapauá,AM,428280481,Regularizada,Tradicionalmente ocupada,,,,
34302,Paumari do Lago Manissuã,Paumari,Tapaua,AM,229700651,Regularizada,Tradicionalmente ocupada,,,,
34401,Paumari do Lago Marahã,Apurinã,Lábrea,AM,1187668860,Regularizada,Tradicionalmente ocupada,,,,
34501,Paumari do Lago Paricá,Paumarí,Tapauá,AM,15792112,Regularizada,Tradicionalmente ocupada,,,,
34601,Paumari do Rio Ituxi,Paumarí,Lábrea,AM,7572412,Regularizada,Tradicionalmente ocupada,,,,
34701,Peneri/Tacaquiri,Apurinã,Pauini,AM,1898709640,Regularizada,Tradicionalmente ocupada,,,,
34801,Pequizal,Nambikwára,Nova Lacerda,MT,98868211,Regularizada,Tradicionalmente ocupada,,,,
34901,Perigara,Boróro,Barão de Melgaço,MT,107404115,Regularizada,Tradicionalmente ocupada,,,,
35001,Peruíbe,Guaraní,Peruíbe,SP,4804737,Regularizada,Tradicionalmente ocupada,,,,
35101,Piaçaguera,Guarani Nhandeva,Peruíbe,SP,2795,Declarada,Tradicionalmente ocupada,,,,
35201,Pilad Rebuá,Terena,Miranda,MS,2083702,Regularizada,Tradicionalmente ocupada,,,,
35301,Pimentel Barbosa,Xavante,"Canarana, Ribeirão Cascalheira",MT,328966444,Regularizada,Tradicionalmente ocupada,,,,
35401,Pinatuba,Múra,Manicoré,AM,295649382,Regularizada,Tradicionalmente ocupada,,,,
35501,Pinhal,Kaingang,Seara,SC,8800761,Regularizada,Tradicionalmente ocupada,,X,,
35502,Toldo Pinhal,Kaingang,Abelardo Luz,SC,4846,Declarada,Tradicionalmente ocupada,Reestudo,,,
35601,Pinhalzinho,Guaraní,Tomazina,PR,593372,Regularizada,Reserva Indigena,,,,
35701,Pirahã,"Pirahã, Mura",Humaitá,AM,3469105670,Regularizada,Tradicionalmente ocupada,,,,
35801,Pirai,Guarani Mbya,Araquari,SC,3017,Declarada,Tradicionalmente ocupada,,,,
