boundary,ethnic_group,leisure,name,operator,protect_class,protection_title,ref:Funai,source,type,id,is_in:city,is_in:state_code,protected_area,FUNAI:ADR,FUNAI:AREAETNO,FUNAI:AREA_HA,FUNAI:CDOC,FUNAI:CODAREA,FUNAI:DATADOC,FUNAI:DOCUMENTO,FUNAI:ETAPA,FUNAI:EXTENSO,FUNAI:FLUXO,FUNAI:GID,FUNAI:GRUPOS,FUNAI:LINKAREA,FUNAI:NOME_AREA,FUNAI:PERIMETRO,FUNAI:REV,FUNAI:SITUACAO,FUNAI:TITULO,population,designation,alt_name,ownership,name:en,wikidata,wikipedia,loc_name,old_name,related_law,start_date,note,protect_area,protect_title,website,heritage,source:law,FUNAI:OBS_AREA,fixme,description
protected_area,,nature_reserve,Terra Indígena Lauro Sodré,Fundação Nacional do Índio,24,terra indígena,25401,Funai,,way/287799870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Marajai,Fundação Nacional do Índio,24,terra indígena,27001,Funai,,way/287799871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Meria,Fundação Nacional do Índio,24,terra indígena,28901,Funai,,way/287799872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Porto Limoeiro,Fundação Nacional do Índio,24,terra indígena,57101,Funai,,way/287799874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Kaxinawá Colônia Vinte e Sete,Fundação Nacional do Índio,24,terra indígena,22201,Funai,,way/287800864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Tikuna de Santo Antonio,Fundação Nacional do Índio,24,terra indígena,46801,Funai,,way/287801094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Tukuna Porto Espiritual,Fundação Nacional do Índio,24,terra indígena,46901,Funai,,way/287801095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Aconã,Fundação Nacional do Índio,24,reserva indígena,601,Funai,,way/287981054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Fazenda Sítio,Fundação Nacional do Índio,24,reserva indígena,69901,Funai,,way/287981057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Geripancó,Fundação Nacional do Índio,24,reserva indígena,19402,Funai,,way/287981058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Tingui Botó,Fundação Nacional do Índio,24,reserva indígena,45402,Funai,,way/287981059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Atikum,Fundação Nacional do Índio,24,terra indígena,4501,Funai,,way/287981061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Caiçara/Ilha de São Pedro,Fundação Nacional do Índio,24,terra indígena,7901,Funai,,way/287981062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Córrego João Pereira,Fundação Nacional do Índio,24,terra indígena,10401,Funai,,way/287981063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Kambiwá,Fundação Nacional do Índio,24,terra indígena,20201,Funai,,way/287981064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Kantaruré,Fundação Nacional do Índio,24,terra indígena,20801,Funai,,way/287981065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Kariri-Xocó,Fundação Nacional do Índio,24,terra indígena,21701,Funai,,way/287981066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Kiriri,Fundação Nacional do Índio,24,terra indígena,23101,Funai,,way/287981067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Massacara,Fundação Nacional do Índio,24,terra indígena,27601,Funai,,way/287981068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Ananás,Fundação Nacional do Índio,24,terra indígena,1901,Funai,,way/294263418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Santa Inez,Fundação Nacional do Índio,24,terra indígena,41201,Funai,,way/294263865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Queimadas,Fundação Nacional do Índio,24,terra indígena,37501,Funai,,way/294406512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Capivari,Fundação Nacional do Índio,24,terra indígena,9101,Funai,,way/294407199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Parati-Mirim,Fundação Nacional do Índio,24,terra indígena,33301,Funai,,way/294407200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Peruíbe,Fundação Nacional do Índio,24,terra indígena,35001,Funai,,way/294407201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Está correta a geometria?,
protected_area,,nature_reserve,Terra Indígena Carreteiro,Fundação Nacional do Índio,24,terra indígena,9601,Funai,,way/294410576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Cerrito,Fundação Nacional do Índio,24,terra indígena,9901,Funai,,way/294410577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Faxinal,Fundação Nacional do Índio,24,terra indígena,12301,Funai,,way/294410578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Guarani Araponga,Fundação Nacional do Índio,24,terra indígena,14001,Funai,,way/294410579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Guarani da Barragem,Fundação Nacional do Índio,24,terra indígena,14201,Funai,,way/294410581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Pacheca,Fundação Nacional do Índio,24,terra indígena,31701,Funai,,way/294410583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Tibagy/Mococa,Fundação Nacional do Índio,24,terra indígena,45201,Funai,,way/294410584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Rio das Cobras,Fundação Nacional do Índio,24,terra indígena,39001,Funai,,way/294410809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Ventarra,Fundação Nacional do Índio,24,terra indígena,49101,Funai,,way/294414294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Vanuire,Fundação Nacional do Índio,24,terra indígena,48801,Funai,,way/294414310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Kaingang de Iraí,Fundação Nacional do Índio,24,terra indígena,20101,Funai,,way/294415492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Krukutu,Fundação Nacional do Índio,24,terra indígena,23601,Funai,,way/294415520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Laranjinha,Fundação Nacional do Índio,24,terra indígena,25301,Funai,,way/294415536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Araribá,Fundação Nacional do Índio,24,terra indígena,3501,Funai,,way/294418200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Karajá de Aruanã I,Fundação Nacional do Índio,24,terra indígena,21001,Funai,,way/294583266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Carretão II,Fundação Nacional do Índio,24,terra indígena,9501,Funai,,way/294583317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Carretão I,Fundação Nacional do Índio,24,terra indígena,9401,Funai,,way/294583321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Krenrehé,Fundação Nacional do Índio,24,reserva indígena,65801,Funai,,way/294583594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Estivadinho,Fundação Nacional do Índio,24,terra indígena,11901,Funai,,way/299387484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Kwazá do Rio São Pedro,Fundação Nacional do Índio,24,terra indígena,24101,Funai,,way/299389938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Figueiras,Fundação Nacional do Índio,24,terra indígena,12801,Funai,,way/299390016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Sararé,Fundação Nacional do Índio,24,terra indígena,42101,Funai,,way/299393471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Santana,Fundação Nacional do Índio,24,terra indígena,41301,Funai,,way/299393818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Rio Formoso,Fundação Nacional do Índio,24,terra indígena,39301,Funai,,way/299393823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Rio Omerê,Fundação Nacional do Índio,24,terra indígena,40101,Funai,,way/299393825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
